pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 1000;Certified Public Accountant;11/08/2021;31/12/2029
;Pegawai 834;Certified Accounting Technician;28/03/2022;31/12/2029
;Pegawai 1347;Certified IPSAS Specialist;13/01/2021;31/12/2029
;Pegawai 836;Certified Sustainability Practitioner;19/11/2021;31/12/2029
;Pegawai 1415;Certified Grafologie Analyst;21/03/2022;31/12/2029
;Pegawai 1132;Certified Government Accounting Associate;06/02/2019;31/12/2029
;Pegawai 503;Certified Professional Management Accountant;28/07/2020;31/12/2029
;Pegawai 535;Loop Certified Corporate Coach;05/09/2018;31/12/2029
;Pegawai 1134;Certified Human Resources Analyst;02/01/2020;31/12/2029
;Pegawai 1531;Certified Ethical Hacker;14/07/2022;31/12/2029
;Pegawai 667;Sertifikasi Change Management;17/08/2020;31/12/2029
;Pegawai 1914;Enterprise Risk Management Certified Professional;03/10/2022;31/12/2029
;Pegawai 17;Certification in Risk Management Assurance;04/01/2019;31/12/2029
;Pegawai 867;Chartered Accountant;18/05/2020;31/12/2029
;Pegawai 851;EnCase Certified Examiner;26/08/2020;31/12/2029
;Pegawai 295;Certification in Control Self-Assessment;26/03/2018;31/12/2029
;Pegawai 1083;Certified Human Resources Management Professional (CHRMP);05/05/2020;31/12/2029
;Pegawai 632;Certified Professional Management Accountant;19/01/2018;31/12/2029
;Pegawai 348;Certified Professional Management Accountant;29/11/2019;31/12/2029
;Pegawai 1460;Certified Information System Auditors;03/03/2019;31/12/2029
;Pegawai 154;Certified Sustainability Reporting Specialist;08/11/2022;31/12/2029
;Pegawai 319;Certified Human Resources Specialist;04/10/2020;31/12/2029
;Pegawai 1944;Certificate in International Public Sector Accounting Standards;04/08/2019;31/12/2029
;Pegawai 1481;Certified Hacking Forensic Investigator;07/10/2018;31/12/2029
;Pegawai 429;AccessData Certified Examiner;15/09/2021;31/12/2029
;Pegawai 1072;Certified Fraud Examiner;17/10/2018;31/12/2029
;Pegawai 1177;Certified Secure Computer User;23/03/2018;31/12/2029
;Pegawai 1951;Certified Internal Control Auditor;09/10/2019;31/12/2029
;Pegawai 967;Certified Corporate Coach;30/01/2018;31/12/2029
;Pegawai 1811;Certified IPSAS Specialist;07/09/2021;31/12/2029
;Pegawai 778;Oxygen Forensic Certified;09/11/2021;31/12/2029
;Pegawai 1906;Certified IPSAS Specialist;23/02/2019;31/12/2029
;Pegawai 899;Certificate in International Public Sector Accounting Standards;06/07/2021;31/12/2029
;Pegawai 1527;Certified Information System Auditors;26/12/2018;31/12/2029
;Pegawai 611;Certified Internal Control Auditor;18/10/2021;31/12/2029
;Pegawai 1500;Asean Engineeer;08/01/2021;31/12/2029
;Pegawai 917;Certified Financial Planner;24/06/2018;31/12/2029
;Pegawai 1731;Asean Engineeer;06/04/2022;31/12/2029
;Pegawai 811;Certified Human Resources Professional;01/07/2018;31/12/2029
;Pegawai 298;Certified Data Centre Professional;04/05/2019;31/12/2029
;Pegawai 1590;Certified Information System Auditors;27/12/2022;31/12/2029
;Pegawai 1774;Loop Certified Corporate Coach;22/01/2021;31/12/2029
;Pegawai 312;Certified Contract Management Specialist;30/08/2019;31/12/2029
;Pegawai 1185;Certified Financial Planner;14/02/2022;31/12/2029
;Pegawai 1565;Certified Accounting Technician;07/02/2022;31/12/2029
;Pegawai 1811;Cellebrite Certified Officer;27/12/2019;31/12/2029
;Pegawai 391;EnCase Certified Examiner;10/02/2022;31/12/2029
;Pegawai 1972;Certified State Finance Auditor;08/11/2018;31/12/2029
;Pegawai 604;Cellebrite Certified Physical Analyst;13/06/2022;31/12/2029
;Pegawai 90;Cellebrite Certified Operator;22/09/2022;31/12/2029
;Pegawai 1303;Certified Human Resources Management Professional (CHRMP);23/09/2018;31/12/2029
;Pegawai 518;Certified Human Resources Management Professional (CHRMP);17/03/2018;31/12/2029
;Pegawai 537;Certified Fraud Examiner;04/10/2019;31/12/2029
;Pegawai 1260;EnCase Certified Examiner;04/09/2021;31/12/2029
;Pegawai 29;Certified Risk Professional;13/11/2018;31/12/2029
;Pegawai 852;Akuntan;15/02/2020;31/12/2029
;Pegawai 1690;Insinyur Professional Madya;09/08/2022;31/12/2029
;Pegawai 1663;Qualified Risk Management Officer;25/11/2022;31/12/2029
;Pegawai 1108;Certified Fraud Examiner;09/11/2019;31/12/2029
;Pegawai 113;Certified Human Resources Specialist;03/07/2018;31/12/2029
;Pegawai 190;Certified Human Resources Management Professional;04/11/2019;31/12/2029
;Pegawai 25;Insinyur Professional Madya;27/11/2018;31/12/2029
;Pegawai 1734;Enterprise Risk Management Associate Professional;20/04/2020;31/12/2029
;Pegawai 789;Certified Corporate Coach;09/10/2021;31/12/2029
;Pegawai 1699;Cerified Sustainability Reporting Assurer;22/11/2019;31/12/2029
;Pegawai 1609;Cellebrite Certified Operator;27/04/2019;31/12/2029
;Pegawai 1115;Certificate in International Public Sector Accounting Standards;14/11/2018;31/12/2029
;Pegawai 1027;Certified State Finance Auditor;10/12/2021;31/12/2029
;Pegawai 786;Cerified Sustainability Reporting Assurer;17/10/2019;31/12/2029
;Pegawai 1520;Certified Data Centre Professional;11/01/2021;31/12/2029
;Pegawai 657;Enterprise Risk Management Certified Professional;01/06/2018;31/12/2029
;Pegawai 999;Cyber Security Foundation Professional;08/03/2022;31/12/2029
;Pegawai 813;Enterprise Risk Management Certified Professional;10/06/2020;31/12/2029
;Pegawai 1653;Insinyur Professional Madya;29/03/2022;31/12/2029
;Pegawai 242;Certified Hacking Forensic Investigator;14/04/2020;31/12/2029
;Pegawai 509;Enterprise Risk Management Associate Professional;29/05/2022;31/12/2029
;Pegawai 847;Cerified Sustainability Reporting Assurer;14/01/2021;31/12/2029
;Pegawai 768;Ahli Akuntansi Pemerintahan;03/07/2020;31/12/2029
;Pegawai 575;Certified Forensic Auditor;28/01/2019;31/12/2029
;Pegawai 185;Certified Procurement Specialist;28/03/2021;31/12/2029
